1,1495,1
2787,515,1
312,879,1
2641,634,1
2345,4914,1
427,4709,1
2274,1958,1
2141,4977,1
512,549,1
1837,2938,1
1804,5507,1
1802,7,1
1783,4176,1
1658,192,1
1617,1444,1
1373,2180,1
697,2457,1
716,3720,1
1261,971,1
725,4326,1
1194,5179,1
770,1921,1
1007,134,1
841,1781,1
917,4553,1
934,4630,1
2816,2572,1
2826,4930,1
2936,1825,1
3116,5246,1
3160,2825,1
3257,4868,1
3312,1678,1
3360,3851,1
3431,4213,1
3533,3266,1
3789,4619,1
3866,1822,1
3899,3391,1
3952,6021,1
3981,2105,1
4133,3621,1
4221,3941,1
4350,2673,1
4367,3363,1
4398,2801,1
4495,5900,1
4547,5913,1
4706,291,1
4769,1682,1
4863,3740,1
4976,2609,1
5074,5321,1
5125,3085,1
5199,4883,1
5290,461,1
5351,223,1
5508,1735,1
5664,3635,1
6030,135,1
6081,2231,1
6133,2288,1
5030,1590,1
2769,1426,1
4679,3438,1
4326,4256,1
2624,5815,1
378,4495,1
2560,321,1
4229,4163,1
428,3737,1
2246,1863,1
480,3851,1
4181,270,1
4150,4814,1
529,4395,1
564,4696,1
582,252,1
595,4133,1
642,2359,1
4094,5897,1
1973,2158,1
3922,1285,1
3459,4802,1
3287,1318,1
3049,5902,1
1538,6010,1
1426,3697,1
1161,2935,1
1881,3966,1
5192,1212,1
5355,5437,1
5458,1049,1
5688,3623,1
5793,3690,1
5813,5557,1
4460,900,1
4415,1797,1
4287,811,1
4125,3502,1
2129,1241,1
4040,5396,1
2037,5274,1
2010,1346,1
3849,216,1
3718,486,1
3623,5319,1
3357,3706,1
1588,4556,1
1527,3820,1
3243,322,1
620,5737,1
1475,2250,1
747,3757,1
3218,1700,1
771,5715,1
780,3829,1
799,1001,1
3008,3092,1
2420,918,1
1225,2415,1
2370,183,1
2315,396,1
1120,2246,1
1060,355,1
2215,2015,1
4896,3272,1
5380,2749,1
5479,217,1
5672,2907,1
5723,3460,1
5873,5200,1
5966,57,1
6019,877,1
6046,4053,1
6097,4034,1
6128,2185,1
4619,4015,1
4445,2740,1
4361,939,1
111,3705,1
4242,793,1
204,3706,1
217,5479,1
3745,288,1
1877,2646,1
3580,4069,1
309,4322,1
3555,5285,1
1822,5547,1
419,5119,1
3539,2509,1
548,1250,1
3086,672,1
701,5693,1
2989,244,1
2984,5927,1
2903,2346,1
1716,5545,1
962,1031,1
2870,4974,1
1651,1475,1
2798,866,1
2747,4604,1
2745,1802,1
2588,5001,1
1391,873,1
5122,588,1
5223,3119,1
5309,298,1
5328,5465,1
5382,3732,1
5606,6035,1
5607,4844,1
6002,807,1
5073,3769,1
4990,2287,1
4959,3069,1
1011,3795,1
4451,1879,1
4371,3375,1
949,5470,1
4083,2960,1
873,300,1
3968,1785,1
2440,3572,1
3583,2447,1
2425,2963,1
3541,160,1
3371,3727,1
3240,3496,1
2950,1154,1
2932,5068,1
2007,478,1
2231,1106,1
1212,3950,1
2286,3162,1
1753,4015,1
2255,213,1
1352,1910,1
1371,892,1
1402,3075,1
1557,2451,1
1549,1747,1
5253,685,1
5271,3617,1
5388,3324,1
5449,4099,1
5555,1262,1
5582,4578,1
6014,875,1
41,2283,1
581,3524,1
2681,1891,1
520,1414,1
5823,602,1
5809,3329,1
432,832,1
5593,1489,1
408,4433,1
5188,1383,1
316,863,1
2073,5995,1
201,5232,1
4923,832,1
116,6059,1
4635,543,1
1859,1657,1
597,2739,1
615,3650,1
1830,827,1
4598,4719,1
1686,2520,1
4479,2371,1
3778,3058,1
800,193,1
3753,523,1
1338,933,1
3389,2828,1
2974,30,1
2911,4726,1
2862,5066,1
2793,4638,1
2819,863,1
5863,5576,1
5908,2993,1
5971,1131,1
4361,2626,1
2060,1919,1
2018,2210,1
1930,2277,1
82,1687,1
4078,5364,1
185,894,1
210,3707,1
3619,816,1
3240,1337,1
1782,833,1
3148,2290,1
3131,3030,1
3091,170,1
357,3218,1
3041,4611,1
2685,1879,1
2529,473,1
466,1668,1
2482,3583,1
2479,3416,1
536,4537,1
2155,3779,1
676,307,1
1197,2931,1
776,2140,1
1381,1416,1
822,1844,1
1212,4494,1
4694,852,1
4800,3582,1
4907,812,1
4973,4024,1
5189,4841,1
5694,1475,1
6051,5728,1
3,3560,1
241,1245,1
5324,444,1
170,1488,1
5227,1880,1
69,1979,1
2427,4350,1
5152,723,1
5086,5320,1
292,3718,1
4723,5467,1
2275,1353,1
4650,4056,1
440,2134,1
4343,5868,1
523,3753,1
4174,4565,1
667,2805,1
3700,5790,1
3567,5296,1
3277,5396,1
3248,348,1
3198,2459,1
2778,4313,1
2748,101,1
2594,1463,1
1638,4908,1
1035,3011,1
2526,521,1
1081,2208,1
1169,1295,1
1440,1604,1
1505,2548,1
5842,5587,1
4,1799,1
2563,2079,1
4749,2030,1
700,2312,1
4347,3339,1
2454,5763,1
2376,1266,1
4218,3062,1
571,220,1
4207,3646,1
4173,1160,1
3617,818,1
3494,583,1
2098,2694,1
2063,957,1
206,3686,1
3272,3492,1
3053,1392,1
114,2266,1
3051,3137,1
805,6004,1
2743,2493,1
1901,5404,1
2651,4200,1
1875,2634,1
1729,5538,1
1191,3871,1
2638,1878,1
1522,6067,1
1686,81,1
1343,4782,1
5122,1138,1
5855,4370,1
6083,3842,1
2891,5400,1
4968,2308,1
4830,5537,1
4554,1149,1
4514,1859,1
4373,398,1
2486,168,1
2418,6011,1
2320,623,1
4331,4251,1
4178,448,1
4035,6118,1
2012,1339,1
3910,1988,1
1945,5289,1
1858,2720,1
702,3058,1
719,3745,1
3700,114,1
754,833,1
778,3828,1
848,424,1
1552,4389,1
1468,2575,1
3667,2744,1
3664,4479,1
1054,364,1
1159,2942,1
2932,1208,1
3626,3033,1
2998,3101,1
3588,2504,1
3174,3734,1
3223,4846,1
3243,1379,1
3286,5768,1
3335,4346,1
3492,4761,1
5522,5762,1
5725,3597,1
5934,2101,1
5935,1646,1
6125,5484,1
8,1427,1
