76,1844,1
101,1895,1
159,1672,1
337,2024,1
360,1821,1
385,1833,1
411,118,1
484,2065,1
698,1369,1
834,1611,1
875,2255,1
925,1621,1
950,2445,1
976,359,1
1026,1556,1
1077,1515,1
1128,506,1
1195,134,1
1216,119,1
1358,1264,1
1636,889,1
1747,1601,1
1794,2364,1
1851,1451,1
1906,103,1
1961,2284,1
2026,346,1
2048,1395,1
2168,818,1
2430,1797,1
2533,663,1
2566,440,1
10,2323,1
45,1011,1
179,927,1
189,1654,1
214,869,1
240,681,1
415,120,1
508,1975,1
543,647,1
614,555,1
667,2573,1
738,482,1
769,343,1
860,1588,1
895,2243,1
986,2349,1
1017,2112,1
1170,1500,1
1333,601,1
1509,1078,1
1621,1723,1
1666,1338,1
1782,1583,1
1920,1549,1
2073,2113,1
2146,2030,1
2172,854,1
2224,892,1
2322,1736,1
2358,39,1
2415,813,1
2455,705,1
2481,933,1
137,1205,1
262,1257,1
302,1787,1
457,1525,1
513,593,1
557,2085,1
578,1130,1
817,2193,1
866,184,1
1000,333,1
1048,2089,1
1108,1400,1
1149,2494,1
1169,1499,1
1187,1463,1
1276,1316,1
1376,705,1
1404,1120,1
1430,2012,1
1565,17,1
1828,363,1
2005,1399,1
2088,1043,1
2228,2085,1
2254,1988,1
2280,769,1
2518,810,1
72,1854,1
124,405,1
276,1726,1
320,942,1
354,986,1
440,145,1
634,1313,1
641,525,1
694,1374,1
804,307,1
920,2292,1
1072,2153,1
1252,1340,1
1308,618,1
1449,1219,1
1530,1066,1
1586,851,1
1645,1775,1
1682,2588,1
1712,228,1
1761,1604,1
1810,63,1
1833,2414,1
1969,2259,1
2000,2244,1
2130,597,1
2199,1089,1
2299,1739,1
2365,1002,1
2503,1701,1
74,1040,1
102,807,1
157,1207,1
358,999,1
383,1061,1
410,2452,1
699,258,1
773,1443,1
832,2163,1
926,204,1
951,334,1
978,2315,1
989,349,1
1227,2408,1
1248,2369,1
1305,1703,1
1332,600,1
1515,1881,1
1536,2074,1
1594,876,1
1620,1750,1
1648,192,1
1746,2340,1
1758,1599,1
1789,295,1
1904,1519,1
1962,2488,1
2024,1427,1
2050,326,1
2167,1864,1
2357,997,1
2429,1282,1
2532,987,1
2567,1685,1
12,1551,1
44,166,1
178,32,1
187,925,1
216,1701,1
241,1288,1
416,2427,1
456,2339,1
482,738,1
513,1110,1
542,1961,1
613,1292,1
669,1400,1
727,297,1
874,2264,1
893,208,1
1223,2393,1
1301,1711,1
1470,750,1
1508,454,1
1579,1788,1
1668,205,1
1853,2386,1
1879,136,1
1919,2211,1
2072,481,1
2171,1886,1
2225,1986,1
2316,11,1
2414,1833,1
2454,948,1
2482,719,1
136,423,1
261,684,1
303,728,1
324,786,1
556,615,1
577,626,1
742,1472,1
784,1459,1
816,80,1
1150,1501,1
1168,2527,1
1377,1087,1
1405,2043,1
1432,717,1
1453,776,1
1454,1200,1
1826,1442,1
1864,2167,1
2004,2236,1
2086,645,1
2131,622,1
2229,1934,1
2255,786,1
2282,915,1
2303,966,1
2331,1754,1
2516,1939,1
70,1012,1
125,1150,1
277,708,1
353,771,1
441,2422,1
635,547,1
642,2113,1
695,263,1
805,2395,1
921,1617,1
1004,2578,1
1020,72,1
1051,49,1
1083,2184,1
1104,524,1
1191,1471,1
1244,2414,1
1275,1339,1
1522,450,1
1564,29,1
1683,1314,1
1710,1328,1
1832,384,1
1968,510,1
1999,550,1
2197,564,1
2366,1772,1
2502,393,1
18,1566,1
334,776,1
481,731,1
555,1146,1
582,2003,1
831,77,1
1023,86,1
1080,2181,1
1131,1421,1
1279,303,1
1300,1700,1
1368,2052,1
1406,1106,1
1427,1138,1
1471,741,1
1557,1906,1
1578,1916,1
1826,361,1
1854,2395,1
1903,2188,1
1958,2557,1
2028,1391,1
2256,1972,1
2277,1946,1
68,1032,1
182,470,1
191,910,1
212,1671,1
243,1765,1
352,992,1
443,2428,1
505,588,1
546,1990,1
586,2009,1
637,533,1
690,2527,1
735,2463,1
772,1442,1
918,2275,1
988,486,1
1014,1561,1
1249,2368,1
1304,1678,1
1383,1075,1
1506,1805,1
1537,1885,1
1593,866,1
1649,191,1
1695,178,1
1715,2525,1
1759,1575,1
1918,150,1
2076,492,1
2118,1023,1
2201,1134,1
2325,934,1
